/* DATA DESCRIPTION:
Citation:	Hammer, C U; Dahl-Jensen, Dorthe (1999): GRIP Accumulation Rates [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55084
Related to:	Dahl-Jensen, Dorthe; Johnsen, Sigfús Jóhann; Hammer, C U; Clausen, Henrik Brink; Jouzel, Jean (1993): Past accumulation rates derived from observed annual layers in the GRIP ice core from Summit, central Greenland. In: Peltier, W R (ed.), Ice in the Climate System,Springer-Verlag, Berlin-Heidelberg, Germany, 517-532
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Hammer, C U; Andersen, Katrine K; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Hvidberg, Christine Schøtt; Iversen, P (1997): The stratigraphic dating of the GRIP ice core. Special Report of the Geophysical Department, Niels Bohr Institute for Astronomy physics and Geophysics, University of Copenhagen
	Johnsen, Sigfús Jóhann; Dahl-Jensen, Dorthe; Dansgaard, W; Gundestrup, Niels S (1995): Greenland palaeotemperatures derived from GRIP bore hole temperature and ice core isotope profiles. Tellus Series B-Chemical and Physical Meteorology, 47(5), 624-629, https://doi.org/10.1034/j.1600-0889.47.issue5.9.x
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.570000 * LONGITUDE: -37.620000
	DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 2983.20 m
Event(s):	GRIP * LATITUDE: 72.570000 * LONGITUDE: -37.620000 * DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00 * ELEVATION: 3232.0 m * Penetration: 3028.8 m * Recovery: 3028.8 m * LOCATION: Greenland * CAMPAIGN: GRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: ISTUK electromechanical drill (ISTUK) (URI: https://icedrill.org/library/new-improved-version-istuk-ice-core-drill)
Comment:	Depth at the top of the sample
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate per year [g/cm**2/a] (Acc rate) * PI: Dahl-Jensen, Dorthe (https://orcid.org/0000-0002-1474-1948, qbk693@ku.dk) * METHOD/DEVICE: Calculated * COMMENT: based on d18O
	Layer thickness [m] (Thickness) * PI: Dahl-Jensen, Dorthe (https://orcid.org/0000-0002-1474-1948, qbk693@ku.dk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10850 data points
*/
Depth ice/snow [m]	Age [ka BP]	Acc rate [g/cm**2/a]	Thickness [m]
44.55	0.08240	0.209	0.20634
45.10	0.08444	0.198	0.19530
45.65	0.08661	0.234	0.23125
46.20	0.08845	0.227	0.22398
46.75	0.09035	0.243	0.23955
47.30	0.09214	0.225	0.22239
47.85	0.09407	0.218	0.21514
48.40	0.09607	0.226	0.22288
48.95	0.09801	0.251	0.24751
49.50	0.09977	0.238	0.23518
50.05	0.10162	0.224	0.22124
50.60	0.10359	0.215	0.21232
51.15	0.10566	0.232	0.22836
51.70	0.10758	0.237	0.23401
52.25	0.10947	0.248	0.24454
52.80	0.11128	0.247	0.24308
53.35	0.11310	0.165	0.16250
53.90	0.11585	0.242	0.23819
54.45	0.11772	0.228	0.22409
55.00	0.11972	0.227	0.22330
55.55	0.12174	0.246	0.24212
56.10	0.12360	0.219	0.21512
56.65	0.12570	0.223	0.21938
57.20	0.12777	0.237	0.23322
57.75	0.12972	0.239	0.23515
58.30	0.13166	0.221	0.21693
58.85	0.13377	0.239	0.23490
59.40	0.13572	0.228	0.22370
59.95	0.13778	0.236	0.23198
60.50	0.13977	0.240	0.23605
61.05	0.14173	0.240	0.23568
61.60	0.14370	0.249	0.24495
62.15	0.14560	0.241	0.23701
62.70	0.14757	0.240	0.23522
63.25	0.14955	0.220	0.21595
63.80	0.15173	0.221	0.21707
64.35	0.15389	0.247	0.24249
64.90	0.15584	0.240	0.23518
65.45	0.15784	0.240	0.23578
66.00	0.15985	0.246	0.24091
66.55	0.16182	0.258	0.25321
67.10	0.16370	0.243	0.23782
67.65	0.16571	0.231	0.22610
68.20	0.16782	0.218	0.21358
68.75	0.17007	0.212	0.20726
69.30	0.17239	0.241	0.23622
69.85	0.17442	0.229	0.22393
70.40	0.17658	0.237	0.23208
70.95	0.17866	0.235	0.23035
71.50	0.18077	0.226	0.22102
72.05	0.18296	0.247	0.24164
72.60	0.18498	0.232	0.22656
73.15	0.18713	0.232	0.22669
73.70	0.18929	0.240	0.23424
74.25	0.19138	0.218	0.21268
74.80	0.19368	0.217	0.21164
75.35	0.19601	0.219	0.21397
75.90	0.19831	0.213	0.20792
76.45	0.20068	0.225	0.21984
77.00	0.20293	0.237	0.23182
77.55	0.20507	0.239	0.23340
78.10	0.20719	0.252	0.24600
78.65	0.20921	0.227	0.22114
79.20	0.21146	0.227	0.22128
79.75	0.21372	0.229	0.22288
80.30	0.21596	0.239	0.23266
80.85	0.21811	0.261	0.25483
81.40	0.22008	0.247	0.24104
81.95	0.22216	0.250	0.24370
82.50	0.22423	0.230	0.22372
83.05	0.22648	0.192	0.18711
83.60	0.22917	0.234	0.22750
84.15	0.23139	0.233	0.22710
84.70	0.23362	0.242	0.23588
85.25	0.23577	0.227	0.22111
85.80	0.23807	0.225	0.21940
86.35	0.24038	0.230	0.22374
86.90	0.24266	0.209	0.20290
87.45	0.24517	0.257	0.24949
88.00	0.24722	0.191	0.18563
88.55	0.24997	0.202	0.19624
89.10	0.25258	0.233	0.22613
89.65	0.25485	0.222	0.21604
90.20	0.25722	0.229	0.22194
90.75	0.25954	0.208	0.20217
91.30	0.26208	0.227	0.22075
91.85	0.26441	0.246	0.23875
92.40	0.26657	0.222	0.21579
92.95	0.26897	0.231	0.22455
93.50	0.27127	0.212	0.20584
94.05	0.27378	0.212	0.20579
94.60	0.27630	0.233	0.22562
95.15	0.27860	0.219	0.21266
95.70	0.28104	0.237	0.22958
96.25	0.28330	0.235	0.22786
96.80	0.28559	0.243	0.23562
97.35	0.28780	0.220	0.21344
97.90	0.29024	0.217	0.20987
98.45	0.29273	0.232	0.22421
99.00	0.29506	0.223	0.21596
99.55	0.29748	0.248	0.24008
100.10	0.29966	0.236	0.22799
100.65	0.30196	0.216	0.20884
101.20	0.30447	0.239	0.23148
101.75	0.30673	0.240	0.23190
102.30	0.30900	0.210	0.20325
102.85	0.31159	0.224	0.21618
103.40	0.31402	0.229	0.22109
103.95	0.31640	0.244	0.23595
104.50	0.31864	0.252	0.24323
105.05	0.32080	0.225	0.21710
105.60	0.32324	0.199	0.19208
106.15	0.32599	0.227	0.21902
106.70	0.32840	0.234	0.22618
107.25	0.33074	0.211	0.20324
107.80	0.33335	0.253	0.24362
108.35	0.33552	0.232	0.22345
108.90	0.33789	0.227	0.21858
109.45	0.34032	0.230	0.22194
110.00	0.34271	0.221	0.21249
110.55	0.34521	0.230	0.22166
111.10	0.34761	0.217	0.20909
111.65	0.35016	0.233	0.22383
112.20	0.35254	0.256	0.24594
112.75	0.35470	0.234	0.22509
113.30	0.35707	0.235	0.22572
113.85	0.35943	0.236	0.22700
114.40	0.36179	0.248	0.23803
114.95	0.36403	0.216	0.20796
115.50	0.36660	0.226	0.21687
116.05	0.36906	0.234	0.22494
116.60	0.37144	0.237	0.22772
117.15	0.37379	0.247	0.23719
117.70	0.37605	0.236	0.22695
118.25	0.37841	0.235	0.22524
118.80	0.38079	0.195	0.18736
119.35	0.38365	0.227	0.21760
119.90	0.38612	0.220	0.21101
120.45	0.38866	0.243	0.23326
121.00	0.39096	0.241	0.23093
121.55	0.39329	0.236	0.22608
122.10	0.39567	0.231	0.22179
122.65	0.39809	0.248	0.23799
123.20	0.40035	0.213	0.20426
123.75	0.40299	0.219	0.21008
124.30	0.40555	0.242	0.23212
124.85	0.40787	0.219	0.20998
125.40	0.41044	0.242	0.23126
125.95	0.41277	0.243	0.23256
126.50	0.41509	0.236	0.22559
127.05	0.41748	0.238	0.22781
127.60	0.41985	0.234	0.22382
128.15	0.42226	0.235	0.22493
128.70	0.42467	0.228	0.21762
129.25	0.42715	0.239	0.22854
129.80	0.42951	0.198	0.18902
130.35	0.43237	0.252	0.24090
130.90	0.43462	0.234	0.22349
131.45	0.43704	0.247	0.23613
132.00	0.43933	0.238	0.22700
132.55	0.44172	0.239	0.22774
133.10	0.44410	0.237	0.22624
133.65	0.44649	0.244	0.23265
134.20	0.44882	0.243	0.23157
134.75	0.45116	0.227	0.21614
135.30	0.45367	0.228	0.21735
135.85	0.45616	0.208	0.19830
136.40	0.45890	0.241	0.22923
136.95	0.46127	0.216	0.20578
137.50	0.46391	0.226	0.21498
138.05	0.46643	0.222	0.21123
138.60	0.46900	0.238	0.22634
139.15	0.47140	0.226	0.21482
139.70	0.47393	0.214	0.20338
140.25	0.47660	0.203	0.19340
140.80	0.47941	0.240	0.22785
141.35	0.48180	0.234	0.22263
141.90	0.48424	0.241	0.22882
142.45	0.48662	0.245	0.23290
143.00	0.48896	0.241	0.22856
143.55	0.49134	0.241	0.22881
144.10	0.49372	0.219	0.20783
144.65	0.49634	0.238	0.22573
145.20	0.49875	0.236	0.22374
145.75	0.50118	0.240	0.22751
146.30	0.50358	0.246	0.23349
146.85	0.50591	0.250	0.23729
147.40	0.50821	0.238	0.22530
147.95	0.51063	0.216	0.20439
148.50	0.51329	0.239	0.22630
149.05	0.51570	0.225	0.21351
149.60	0.51826	0.239	0.22603
150.15	0.52067	0.223	0.21140
150.70	0.52325	0.205	0.19415
151.25	0.52606	0.214	0.20273
151.80	0.52875	0.232	0.21907
152.35	0.53125	0.241	0.22746
152.90	0.53365	0.228	0.21566
153.45	0.53618	0.242	0.22900
154.00	0.53856	0.250	0.23666
154.55	0.54087	0.248	0.23453
155.10	0.54320	0.242	0.22824
155.65	0.54559	0.233	0.22022
156.20	0.54807	0.220	0.20804
156.75	0.55070	0.234	0.22128
157.30	0.55317	0.244	0.23065
157.85	0.55554	0.252	0.23725
158.40	0.55784	0.228	0.21512
158.95	0.56038	0.216	0.20320
159.50	0.56307	0.245	0.23071
160.05	0.56544	0.225	0.21228
160.60	0.56802	0.198	0.18687
161.15	0.57095	0.202	0.19057
161.70	0.57382	0.226	0.21303
162.25	0.57638	0.216	0.20290
162.80	0.57908	0.245	0.23037
163.35	0.58146	0.249	0.23439
163.90	0.58379	0.216	0.20294
164.45	0.58649	0.191	0.17978
165.00	0.58953	0.214	0.20109
165.55	0.59225	0.217	0.20413
166.10	0.59494	0.206	0.19382
166.65	0.59776	0.232	0.21795
167.20	0.60027	0.203	0.19067
167.75	0.60314	0.205	0.19246
168.30	0.60599	0.240	0.22491
168.85	0.60842	0.245	0.23016
169.40	0.61080	0.226	0.21247
169.95	0.61338	0.211	0.19809
170.50	0.61615	0.227	0.21254
171.05	0.61873	0.240	0.22540
171.60	0.62116	0.220	0.20622
172.15	0.62381	0.223	0.20895
172.70	0.62644	0.235	0.21986
173.25	0.62893	0.219	0.20532
173.80	0.63160	0.208	0.19496
174.35	0.63441	0.227	0.21252
174.90	0.63699	0.219	0.20535
175.45	0.63966	0.225	0.21081
176.00	0.64226	0.225	0.21004
176.55	0.64487	0.256	0.23945
177.10	0.64716	0.241	0.22493
177.65	0.64959	0.235	0.21985
178.20	0.65209	0.240	0.22391
178.75	0.65454	0.220	0.20518
179.30	0.65721	0.234	0.21904
179.85	0.65971	0.233	0.21716
180.40	0.66224	0.231	0.21576
180.95	0.66478	0.245	0.22834
181.50	0.66718	0.233	0.21750
182.05	0.66971	0.247	0.23071
182.60	0.67208	0.242	0.22557
183.15	0.67452	0.226	0.21044
183.70	0.67712	0.231	0.21543
184.25	0.67967	0.228	0.21262
184.80	0.68225	0.250	0.23339
185.35	0.68460	0.235	0.21860
185.90	0.68711	0.209	0.19429
186.45	0.68994	0.207	0.19244
187.00	0.69279	0.221	0.20608
187.55	0.69545	0.216	0.20115
188.10	0.69818	0.249	0.23178
188.65	0.70055	0.208	0.19325
189.20	0.70339	0.247	0.22969
189.75	0.70578	0.216	0.20095
190.30	0.70851	0.219	0.20373
190.85	0.71120	0.233	0.21640
191.40	0.71374	0.240	0.22317
191.95	0.71620	0.244	0.22621
192.50	0.71863	0.216	0.20070
193.05	0.72136	0.235	0.21799
193.60	0.72388	0.225	0.20854
194.15	0.72651	0.254	0.23592
194.70	0.72884	0.253	0.23462
195.25	0.73118	0.229	0.21242
195.80	0.73377	0.216	0.19983
196.35	0.73651	0.250	0.23166
196.90	0.73888	0.217	0.20143
197.45	0.74161	0.243	0.22492
198.00	0.74405	0.234	0.21652
198.55	0.74659	0.242	0.22393
199.10	0.74904	0.229	0.21205
199.65	0.75163	0.246	0.22751
200.20	0.75404	0.226	0.20880
200.75	0.75668	0.229	0.21172
201.30	0.75927	0.218	0.20121
201.85	0.76200	0.212	0.19639
202.40	0.76480	0.224	0.20716
202.95	0.76745	0.236	0.21828
203.50	0.76996	0.220	0.20306
204.05	0.77267	0.244	0.22580
204.60	0.77510	0.227	0.20943
205.15	0.77772	0.213	0.19706
205.70	0.78051	0.226	0.20827
206.25	0.78315	0.224	0.20698
206.80	0.78580	0.242	0.22366
207.35	0.78826	0.218	0.20084
207.90	0.79100	0.231	0.21322
208.45	0.79357	0.238	0.21945
209.00	0.79608	0.204	0.18787
209.55	0.79900	0.207	0.19081
210.10	0.80188	0.211	0.19468
210.65	0.80470	0.226	0.20832
211.20	0.80734	0.231	0.21290
211.75	0.80992	0.242	0.22272
212.30	0.81239	0.230	0.21161
212.85	0.81499	0.260	0.23954
213.40	0.81728	0.234	0.21531
213.95	0.81983	0.224	0.20571
214.50	0.82250	0.229	0.21020
215.05	0.82512	0.239	0.21940
215.60	0.82762	0.234	0.21477
216.15	0.83018	0.233	0.21439
216.70	0.83274	0.218	0.20053
217.25	0.83548	0.216	0.19805
217.80	0.83826	0.202	0.18570
218.35	0.84122	0.224	0.20511
218.90	0.84390	0.212	0.19408
219.45	0.84673	0.215	0.19709
220.00	0.84952	0.221	0.20243
220.55	0.85223	0.227	0.20824
221.10	0.85487	0.231	0.21159
221.65	0.85747	0.235	0.21561
222.20	0.86002	0.234	0.21444
222.75	0.86258	0.233	0.21373
223.30	0.86515	0.247	0.22571
223.85	0.86759	0.225	0.20600
224.40	0.87026	0.239	0.21890
224.95	0.87277	0.234	0.21384
225.50	0.87534	0.227	0.20776
226.05	0.87798	0.226	0.20632
226.60	0.88065	0.220	0.20071
227.15	0.88339	0.249	0.22789
227.70	0.88580	0.224	0.20493
228.25	0.88848	0.229	0.20870
228.80	0.89111	0.227	0.20744
229.35	0.89376	0.234	0.21404
229.90	0.89633	0.202	0.18426
230.45	0.89932	0.233	0.21232
231.00	0.90190	0.235	0.21452
231.55	0.90447	0.240	0.21922
232.10	0.90697	0.215	0.19575
232.65	0.90978	0.233	0.21259
233.20	0.91237	0.237	0.21587
233.75	0.91492	0.229	0.20884
234.30	0.91755	0.237	0.21591
234.85	0.92009	0.218	0.19827
235.40	0.92287	0.215	0.19601
235.95	0.92567	0.226	0.20606
236.50	0.92834	0.227	0.20687
237.05	0.93100	0.256	0.23255
237.60	0.93336	0.244	0.22176
238.15	0.93584	0.213	0.19387
238.70	0.93868	0.226	0.20545
239.25	0.94135	0.209	0.18975
239.80	0.94425	0.240	0.21763
240.35	0.94677	0.251	0.22759
240.90	0.94919	0.234	0.21257
241.45	0.95178	0.227	0.20588
242.00	0.95445	0.224	0.20286
242.55	0.95716	0.213	0.19310
243.10	0.96000	0.241	0.21877
243.65	0.96250	0.217	0.19692
244.20	0.96530	0.230	0.20882
244.75	0.96790	0.230	0.20877
245.30	0.97060	0.211	0.19094
245.85	0.97350	0.243	0.21992
246.40	0.97600	0.249	0.22547
246.95	0.97840	0.238	0.21525
247.50	0.98100	0.226	0.20426
248.05	0.98360	0.248	0.22467
248.60	0.98610	0.223	0.20206
249.15	0.98880	0.240	0.21683
249.70	0.99130	0.263	0.23771
250.25	0.99370	0.248	0.22443
250.80	0.99610	0.261	0.23590
251.35	0.99840	0.245	0.22116
251.90	1.00090	0.225	0.20297
252.45	1.00360	0.242	0.21881
253.00	1.00610	0.229	0.20713
253.55	1.00880	0.236	0.21273
254.10	1.01140	0.237	0.21360
254.65	1.01400	0.225	0.20305
255.20	1.01670	0.227	0.20438
255.75	1.01940	0.214	0.19284
256.30	1.02220	0.245	0.22091
256.85	1.02470	0.232	0.20906
257.40	1.02730	0.244	0.21942
257.95	1.02980	0.238	0.21444
258.50	1.03240	0.240	0.21602
259.05	1.03490	0.232	0.20884
259.60	1.03760	0.216	0.19398
260.15	1.04040	0.223	0.20026
260.70	1.04320	0.239	0.21506
261.25	1.04570	0.256	0.22992
261.80	1.04810	0.238	0.21435
262.35	1.05070	0.249	0.22353
262.90	1.05310	0.252	0.22682
263.45	1.05560	0.231	0.20726
264.00	1.05820	0.220	0.19722
264.55	1.06100	0.222	0.19966
265.10	1.06380	0.238	0.21401
265.65	1.06630	0.222	0.19920
266.20	1.06910	0.227	0.20366
266.75	1.07180	0.217	0.19479
267.30	1.07460	0.243	0.21826
267.85	1.07710	0.224	0.20040
268.40	1.07990	0.223	0.19947
268.95	1.08260	0.224	0.20047
269.50	1.08540	0.229	0.20535
270.05	1.08800	0.224	0.20089
270.60	1.09080	0.237	0.21179
271.15	1.09340	0.223	0.19956
271.70	1.09610	0.206	0.18398
272.25	1.09910	0.225	0.20120
272.80	1.10190	0.225	0.20132
273.35	1.10460	0.233	0.20871
273.90	1.10720	0.223	0.19948
274.45	1.11000	0.230	0.20586
275.00	1.11270	0.262	0.23426
275.55	1.11500	0.258	0.23069
276.10	1.11740	0.244	0.21749
276.65	1.11990	0.223	0.19904
277.20	1.12270	0.224	0.19968
277.75	1.12540	0.226	0.20170
278.30	1.12820	0.235	0.20963
278.85	1.13080	0.234	0.20879
279.40	1.13340	0.247	0.22059
279.95	1.13590	0.240	0.21398
280.50	1.13850	0.252	0.22459
281.05	1.14090	0.231	0.20537
281.60	1.14360	0.194	0.17288
282.15	1.14680	0.224	0.19956
282.70	1.14950	0.221	0.19707
283.25	1.15230	0.210	0.18716
283.80	1.15530	0.231	0.20575
284.35	1.15790	0.253	0.22508
284.90	1.16040	0.205	0.18225
285.45	1.16340	0.251	0.22290
286.00	1.16590	0.240	0.21350
286.55	1.16840	0.243	0.21557
287.10	1.17100	0.230	0.20413
287.65	1.17370	0.227	0.20125
288.20	1.17640	0.198	0.17572
288.75	1.17950	0.252	0.22371
289.30	1.18200	0.247	0.21878
289.85	1.18450	0.225	0.19934
290.40	1.18730	0.246	0.21788
290.95	1.18980	0.235	0.20805
291.50	1.19240	0.253	0.22386
292.05	1.19490	0.259	0.22967
292.60	1.19730	0.244	0.21605
293.15	1.19980	0.233	0.20627
293.70	1.20250	0.250	0.22095
294.25	1.20500	0.241	0.21352
294.80	1.20760	0.255	0.22597
295.35	1.21000	0.247	0.21866
295.90	1.21250	0.244	0.21570
296.45	1.21510	0.227	0.20090
297.00	1.21780	0.209	0.18480
297.55	1.22080	0.246	0.21766
298.10	1.22330	0.237	0.20962
298.65	1.22590	0.239	0.21148
299.20	1.22850	0.240	0.21215
299.75	1.23110	0.233	0.20561
300.30	1.23380	0.235	0.20758
300.85	1.23640	0.246	0.21744
301.40	1.23900	0.254	0.22411
301.95	1.24140	0.247	0.21771
302.50	1.24400	0.246	0.21662
303.05	1.24650	0.217	0.19143
303.60	1.24940	0.228	0.20054
304.15	1.25210	0.223	0.19643
304.70	1.25490	0.214	0.18855
305.25	1.25780	0.227	0.19972
305.80	1.26060	0.231	0.20343
306.35	1.26330	0.222	0.19536
306.90	1.26610	0.244	0.21429
307.45	1.26870	0.230	0.20230
308.00	1.27140	0.237	0.20847
308.55	1.27400	0.210	0.18471
309.10	1.27700	0.212	0.18670
309.65	1.27990	0.239	0.20978
310.20	1.28260	0.237	0.20840
310.75	1.28520	0.247	0.21704
311.30	1.28770	0.235	0.20648
311.85	1.29040	0.220	0.19310
312.40	1.29320	0.237	0.20833
312.95	1.29590	0.255	0.22379
313.50	1.29830	0.239	0.20997
314.05	1.30100	0.233	0.20404
314.60	1.30370	0.226	0.19848
315.15	1.30640	0.228	0.19992
315.70	1.30920	0.239	0.20931
316.25	1.31180	0.237	0.20734
316.80	1.31450	0.246	0.21551
317.35	1.31700	0.245	0.21428
317.90	1.31960	0.250	0.21838
318.45	1.32210	0.246	0.21495
319.00	1.32470	0.205	0.17965
319.55	1.32770	0.222	0.19377
320.10	1.33060	0.218	0.19092
320.65	1.33340	0.225	0.19656
321.20	1.33620	0.230	0.20079
321.75	1.33900	0.236	0.20574
322.30	1.34160	0.217	0.18912
322.85	1.34460	0.249	0.21713
323.40	1.34710	0.230	0.20106
323.95	1.34980	0.236	0.20567
324.50	1.35250	0.253	0.22108
325.05	1.35500	0.215	0.18761
325.60	1.35790	0.228	0.19858
326.15	1.36070	0.229	0.19950
326.70	1.36340	0.244	0.21224
327.25	1.36600	0.195	0.16950
327.80	1.36930	0.242	0.21063
328.35	1.37190	0.231	0.20137
328.90	1.37460	0.247	0.21538
329.45	1.37720	0.246	0.21406
330.00	1.37970	0.204	0.17737
330.55	1.38280	0.218	0.18977
331.10	1.38570	0.221	0.19250
331.65	1.38860	0.216	0.18736
332.20	1.39150	0.242	0.21031
332.75	1.39410	0.249	0.21608
333.30	1.39670	0.244	0.21235
333.85	1.39930	0.254	0.22028
