/* DATA DESCRIPTION:
Citation:	Wolff, Eric William (1999): GRIP Dielectric Profiling (DEP) and Electrical Conductivity (ECM) averaged data [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55092
Related to:	Clausen, Henrik Brink; Hammer, C U; Christensen, John P; Hvidberg, Christine Schøtt; Dahl-Jensen, Dorthe; Legrand, Michel R; Steffensen, Jørgen Peder (1995): 1250 years of global volcanism as revealed by central Greenland ice cores. In: Delmas, R (ed.), Ice Core Studies of Global Biogeochemical cycles, Annecy, France, NATO Advanced Sciences Institutes Series 1, 30, 175-194
	GRIP Members (1993): Climate instability during the last interglacial period recorded in the GRIP ice core. Nature, 364(6434), 203-207, https://doi.org/10.1038/364203a0
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Moore, J Casey; Mulvaney, Robert; Paren, J G (1989): Dielectric stratigraphy of ice: a new technique for determining total ionic concentrations in polar ice cores. Geophysical Research Letters, 16, 1177-1180, https://doi.org/10.1029/GL016i010p01177
	Moore, J Casey; Paren, J G (1987): A new technique for dielectric logging of Antarctic ice cores. Journal de Physique, 48C, 155-160, https://doi.org/10.1051/jphyscol:1987123
	Moore, J Casey; Wolff, Eric William; Clausen, Henrik Brink; Hammer, C U; Legrand, Michel R; Fuhrer, Katrin (1994): Electrical response of the Summit-Greenland ice core to ammonium, sulphuric acid, and hydrochloric acid. Geophysical Research Letters, 21(7), 565-568, https://doi.org/10.1029/94GL00542
	Taylor, Kendrick C; Hammer, C U; Alley, Richard B; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Gow, A J; Gundestrup, Niels S; Kipfstuhl, Sepp; Moore, J Casey; Waddington, Edwin D (1993): Electrical conductivity measurements from the GISP2 and GRIP Greenland ice cores. Nature, 366(6455), 549-552, https://doi.org/10.1038/366549a0
	Wolff, Eric William; Moore, J Casey; Clausen, Henrik Brink; Hammer, C U (1997): Climatic implications of background acidity and other chemistry derived from electrical studies of the Greenland Ice Core Project ice core. Journal of Geophysical Research: Oceans, 102(C12), 26325-26332, https://doi.org/10.1029/96JC02223
	Wolff, Eric William; Moore, J Casey; Clausen, Henrik Brink; Hammer, C U; Kipfstuhl, Sepp; Fuhrer, Katrin (1995): Long-term changes in the acid and salt concentrations of the Greenland Ice Core Project ice core from electrical stratigraphy. Journal of Geophysical Research: Atmospheres, 100(D8), 16249-16264, https://doi.org/10.1029/95JD01174
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.570000 * LONGITUDE: -37.620000
	DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00
	MINIMUM DEPTH, ice/snow: 138.05 m * MAXIMUM DEPTH, ice/snow: 3021.70 m
Event(s):	GRIP * LATITUDE: 72.570000 * LONGITUDE: -37.620000 * DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00 * ELEVATION: 3232.0 m * Penetration: 3028.8 m * Recovery: 3028.8 m * LOCATION: Greenland * CAMPAIGN: GRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: ISTUK electromechanical drill (ISTUK) (URI: https://icedrill.org/library/new-improved-version-istuk-ice-core-drill)
Comment:	Each data point is an average over a 55 cm interval; data are correted, level changes between 730 and 930 m are believed to be spurious (Wolff, et al., 1995) due to poor temperature correction.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Conductivity, specific [µS/m] (Cond) * PI: Wolff, Eric William (https://orcid.org/0000-0002-5914-8531, ew428@cam.ac.uk) * METHOD/DEVICE: Calculated average/mean values
	Conductivity, electrical, ice (Cond electr) * PI: Wolff, Eric William (https://orcid.org/0000-0002-5914-8531, ew428@cam.ac.uk) * METHOD/DEVICE: Calculated average/mean values * COMMENT: calculated as H+ = 0.03 x I**2; unit=micromol of H+ per kg
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10346 data points
*/
Depth ice/snow [m]	Age [ka BP]	Cond [µS/m]	Cond electr
215.05	0.825	21.972	1.190
215.60	0.828	20.695	1.340
216.15	0.830	21.477	1.162
216.70	0.833	19.966	2.037
217.25	0.836	19.223	0.970
217.80	0.838	20.584	1.082
218.35	0.841	20.405	1.026
218.90	0.844	22.641	2.048
219.45	0.847	25.023	2.796
220.00	0.850	18.897	1.402
220.55	0.852	20.272	1.449
221.10	0.855	20.287	1.563
221.65	0.858	19.492	1.683
222.20	0.860	21.021	2.156
222.75	0.863	19.330	1.689
223.30	0.865	20.670	1.980
223.85	0.868	20.264	1.657
224.40	0.870	18.468	1.066
224.95	0.873	16.688	1.387
225.50	0.875	19.223	1.910
226.05	0.878	17.436	1.283
226.60	0.881	18.704	1.203
227.15	0.883	22.246	1.540
227.70	0.886	20.278	0.992
228.25	0.889	19.571	1.033
228.80	0.891	21.304	1.514
229.35	0.894	19.564	1.690
229.90	0.896	18.440	1.095
230.45	0.899	20.046	1.448
231.00	0.902	19.437	1.937
231.55	0.905	20.449	2.055
232.10	0.907	18.780	1.631
232.65	0.910	19.167	1.538
233.20	0.912	18.812	1.414
233.75	0.915	19.796	1.326
234.30	0.918	18.866	1.304
234.85	0.920	19.585	1.045
235.40	0.923	18.962	1.512
235.95	0.926	20.427	2.001
236.50	0.928	21.311	2.277
237.05	0.931	18.531	2.032
237.60	0.933	18.990	1.106
238.15	0.936	20.072	1.627
238.70	0.939	20.616	1.611
239.25	0.941	19.156	1.619
239.80	0.944	19.280	1.624
240.35	0.947	21.168	2.035
240.90	0.949	21.318	2.322
241.45	0.952	20.216	2.080
242.00	0.955	20.076	2.408
242.55	0.957	22.977	2.372
243.10	0.960	22.781	2.403
243.65	0.963	20.499	2.154
244.20	0.965	19.638	1.688
244.75	0.968	17.939	1.472
245.30	0.971	18.804	2.208
245.85	0.974	19.445	0.951
246.40	0.976	19.008	0.884
246.95	0.978	20.832	1.180
247.50	0.981	21.702	1.422
248.05	0.984	20.144	0.844
248.60	0.986	19.484	0.743
249.15	0.989	19.235	0.746
249.70	0.991	18.850	1.342
250.25	0.994	18.276	0.934
250.80	0.996	21.530	1.422
251.35	0.998	19.835	1.157
251.90	1.001	19.264	1.035
252.45	1.004	19.926	1.674
253.00	1.006	18.630	1.413
253.55	1.009	21.368	1.971
254.10	1.011	21.662	2.691
254.65	1.014	19.384	2.030
255.20	1.017	20.547	0.816
255.75	1.019	46.693	9.683
256.30	1.022	23.214	1.149
256.85	1.025	18.568	1.239
257.40	1.027	18.873	1.252
257.95	1.030	20.238	1.784
258.50	1.032	19.989	2.112
259.05	1.035	20.482	1.980
259.60	1.038	20.843	1.723
260.15	1.040	20.996	1.759
260.70	1.043	22.536	2.136
261.25	1.046	19.920	1.701
261.80	1.048	20.166	0.985
262.35	1.051	20.562	1.084
262.90	1.053	20.289	1.146
263.45	1.056	24.890	2.605
264.00	1.058	20.911	1.929
264.55	1.061	22.148	2.194
265.10	1.064	21.038	1.533
265.65	1.066	19.670	1.524
266.20	1.069	19.955	1.529
266.75	1.072	19.940	1.335
267.30	1.075	20.871	1.294
267.85	1.077	19.456	1.702
268.40	1.080	22.849	1.793
268.95	1.083	29.290	3.329
269.50	1.085	22.921	1.433
270.05	1.088	20.567	1.354
270.60	1.091	21.038	1.078
271.15	1.093	20.324	0.975
271.70	1.096	19.294	0.634
272.25	1.099	19.996	1.323
272.80	1.102	23.325	2.270
273.35	1.105	22.145	1.988
273.90	1.107	22.379	2.202
274.45	1.110	20.668	1.073
275.00	1.113	20.641	0.910
275.55	1.115	18.950	0.569
276.10	1.117	20.900	0.636
276.65	1.120	20.665	0.514
277.20	1.123	20.383	0.500
277.75	1.125	21.366	0.457
278.30	1.128	18.895	1.144
278.85	1.131	20.207	1.284
279.40	1.133	22.286	1.946
279.95	1.136	21.630	1.203
280.50	1.139	22.535	1.507
281.05	1.141	25.280	1.995
281.60	1.144	22.859	1.659
282.15	1.147	20.436	1.262
282.70	1.150	18.098	1.001
283.25	1.152	20.858	1.678
283.80	1.155	20.056	1.400
284.35	1.158	21.951	1.969
284.90	1.160	21.554	2.055
285.45	1.163	21.013	2.108
286.00	1.166	18.946	1.502
286.55	1.168	21.748	1.388
287.10	1.171	23.474	1.887
287.65	1.174	21.114	1.726
288.20	1.176	19.547	1.384
288.75	1.180	21.863	1.752
289.30	1.182	22.029	1.575
289.85	1.185	20.231	1.908
290.40	1.187	22.236	2.346
290.95	1.190	19.685	1.525
291.50	1.192	16.316	1.122
292.05	1.195	21.135	1.769
292.60	1.197	22.418	2.215
293.15	1.200	19.234	1.593
293.70	1.203	22.022	2.014
294.25	1.205	22.387	2.149
294.80	1.208	22.052	2.359
295.35	1.210	25.413	2.681
295.90	1.213	21.398	1.936
296.45	1.215	20.113	1.580
297.00	1.218	19.255	1.362
297.55	1.221	18.180	1.246
298.10	1.223	19.889	1.408
298.65	1.226	21.223	1.732
299.20	1.229	19.736	1.794
299.75	1.231	21.235	2.215
300.30	1.234	17.286	1.145
300.85	1.236	18.727	1.049
301.40	1.239	18.526	1.054
301.95	1.241	19.335	1.040
302.50	1.244	18.716	1.106
303.05	1.247	18.476	0.909
303.60	1.249	18.925	0.930
304.15	1.252	19.413	0.972
304.70	1.255	20.143	0.986
305.25	1.258	20.595	0.884
305.80	1.261	20.468	1.822
306.35	1.263	19.862	1.617
306.90	1.266	21.794	1.682
307.45	1.269	19.397	1.340
308.00	1.271	21.744	0.684
308.55	1.274	22.989	1.328
309.10	1.277	22.794	2.088
309.65	1.280	22.278	1.572
310.20	1.283	20.461	1.385
310.75	1.285	21.866	1.636
311.30	1.288	21.519	1.695
311.85	1.290	21.440	1.030
312.40	1.293	21.225	1.334
312.95	1.296	20.038	1.053
313.50	1.298	21.465	1.763
314.05	1.301	20.401	1.109
314.60	1.304	20.296	1.279
315.15	1.306	20.080	0.932
315.70	1.309	21.891	1.744
316.25	1.312	21.722	2.282
316.80	1.315	20.039	1.070
317.35	1.317	20.064	0.982
317.90	1.320	19.286	1.256
318.45	1.322	18.920	0.974
319.00	1.325	18.021	0.468
319.55	1.328	23.777	2.010
320.10	1.331	20.206	1.172
320.65	1.333	30.074	2.653
321.20	1.336	20.657	1.431
321.75	1.339	19.703	0.798
322.30	1.342	21.345	0.662
322.85	1.345	18.939	1.337
323.40	1.347	19.860	1.379
323.95	1.350	21.189	0.923
324.50	1.353	20.882	0.894
325.05	1.355	20.036	1.532
325.60	1.358	19.950	1.459
326.15	1.361	20.338	1.886
326.70	1.363	20.536	1.730
327.25	1.366	19.981	1.673
327.80	1.369	22.135	2.081
328.35	1.372	22.633	1.593
328.90	1.375	20.309	1.709
329.45	1.377	20.303	1.488
330.00	1.380	22.336	2.073
330.55	1.383	19.399	1.218
331.10	1.386	22.510	2.157
331.65	1.389	25.645	2.018
332.20	1.392	20.524	1.246
332.75	1.394	22.616	2.074
333.30	1.397	20.935	1.648
333.85	1.399	18.439	1.228
334.40	1.402	19.055	1.044
334.95	1.404	19.619	1.353
335.50	1.407	20.069	1.116
336.05	1.410	16.238	0.528
336.60	1.412	18.056	0.904
337.15	1.415	19.919	1.537
337.70	1.418	21.440	2.119
338.25	1.421	23.300	2.363
338.80	1.423	25.042	2.631
339.35	1.426	30.428	4.296
339.90	1.429	20.149	1.640
340.45	1.432	21.391	1.949
341.00	1.435	20.508	0.919
341.55	1.438	19.580	1.351
342.10	1.440	25.828	2.632
342.65	1.443	21.736	2.001
343.20	1.446	20.904	1.701
343.75	1.449	20.109	1.388
344.30	1.452	18.677	1.227
344.85	1.455	21.530	1.740
345.40	1.458	19.757	1.360
345.95	1.461	19.622	1.387
346.50	1.463	20.749	1.734
347.05	1.466	19.515	1.718
347.60	1.469	19.384	1.654
348.15	1.472	19.154	1.488
348.70	1.475	19.636	1.533
349.25	1.478	21.651	1.810
349.80	1.480	20.378	1.739
350.35	1.484	20.011	1.410
350.90	1.486	20.708	1.925
351.45	1.489	20.466	1.222
352.00	1.492	22.009	1.068
352.55	1.495	21.225	0.897
353.10	1.497	19.972	1.422
353.65	1.500	21.670	2.062
354.20	1.503	22.047	0.955
354.75	1.506	21.546	1.217
355.30	1.509	20.842	1.376
355.85	1.512	22.051	1.497
356.40	1.514	20.514	1.814
356.95	1.517	20.818	1.850
357.50	1.519	19.404	1.534
358.05	1.522	20.965	0.813
358.60	1.525	21.242	1.472
359.15	1.528	20.959	1.612
359.70	1.531	21.085	1.650
360.25	1.534	20.630	1.580
360.80	1.536	19.631	1.342
361.35	1.539	20.565	1.604
361.90	1.542	18.937	0.994
362.45	1.544	20.894	1.317
363.00	1.547	19.865	1.193
363.55	1.550	20.354	1.377
364.10	1.553	20.445	1.505
364.65	1.555	18.743	1.291
365.20	1.558	21.644	1.449
365.75	1.561	21.136	1.389
366.30	1.563	20.985	1.623
366.85	1.566	20.124	1.298
367.40	1.569	17.655	0.969
367.95	1.572	16.514	0.766
368.50	1.574	18.266	1.119
369.05	1.577	19.508	1.537
369.60	1.580	20.254	1.650
370.15	1.582	19.833	1.363
370.70	1.585	18.282	0.997
371.25	1.587	19.405	1.260
371.80	1.590	17.232	0.861
372.35	1.593	19.627	1.158
372.90	1.596	19.495	1.237
373.45	1.598	19.513	1.142
374.00	1.601	21.196	1.359
374.55	1.604	17.918	0.929
375.10	1.607	21.474	1.255
375.65	1.609	21.971	1.390
376.20	1.612	20.382	1.021
376.75	1.615	19.354	0.923
377.30	1.618	19.336	0.996
377.85	1.621	20.692	1.138
378.40	1.624	20.641	1.190
378.95	1.626	18.684	0.933
379.50	1.629	19.489	1.277
380.60	1.635	19.949	1.310
381.15	1.638	21.166	1.720
381.70	1.640	20.462	1.789
382.25	1.643	18.579	1.294
382.80	1.647	18.658	1.432
383.35	1.649	20.861	2.316
383.90	1.652	19.064	2.036
384.45	1.655	21.160	2.115
385.00	1.658	20.278	1.761
385.55	1.661	21.130	1.161
386.10	1.663	20.852	1.193
386.65	1.666	19.526	1.210
387.20	1.669	19.717	1.335
387.75	1.672	20.293	0.981
388.30	1.675	19.593	0.957
388.85	1.678	19.687	1.272
389.40	1.680	21.828	1.985
389.95	1.683	20.030	1.176
390.50	1.686	22.292	1.689
391.05	1.689	21.412	1.420
391.60	1.691	21.479	1.782
392.15	1.694	19.822	1.442
392.70	1.697	20.852	1.390
393.25	1.700	19.852	1.338
393.80	1.702	25.668	1.882
394.35	1.705	20.353	1.210
394.90	1.708	21.168	1.503
395.45	1.711	20.614	1.209
396.00	1.713	20.573	1.407
396.55	1.716	19.689	1.315
397.10	1.719	19.264	1.134
397.65	1.722	19.037	0.860
398.20	1.725	19.961	0.862
398.75	1.728	23.178	1.241
399.30	1.731	20.913	1.127
399.85	1.734	20.933	1.075
400.40	1.737	22.533	1.193
400.95	1.740	20.177	0.840
401.50	1.742	21.440	1.073
402.05	1.745	21.010	1.422
402.60	1.748	22.001	1.486
403.15	1.751	20.754	1.189
403.70	1.754	20.674	1.053
404.25	1.757	20.135	1.154
404.80	1.760	20.938	1.250
405.35	1.763	24.275	2.014
405.90	1.765	21.932	1.493
406.45	1.768	18.379	0.974
407.00	1.771	19.092	1.280
407.55	1.774	20.024	1.108
408.10	1.776	20.589	1.020
408.65	1.779	22.660	1.480
409.20	1.782	18.333	0.984
409.75	1.785	20.624	1.448
410.30	1.788	20.545	1.301
410.85	1.791	19.872	1.366
411.40	1.794	17.181	1.054
411.95	1.797	20.329	1.627
412.50	1.800	21.998	1.837
413.05	1.803	26.369	2.861
413.60	1.806	20.250	1.067
414.15	1.809	20.442	1.092
414.70	1.811	23.855	1.156
415.25	1.814	19.376	0.844
415.80	1.817	20.016	1.337
416.35	1.820	18.365	1.127
416.90	1.823	18.915	1.186
417.45	1.825	19.081	1.393
418.00	1.828	21.648	1.630
418.55	1.831	18.509	1.068
419.10	1.834	21.029	1.206
419.65	1.837	19.437	1.451
420.20	1.840	20.647	1.903
420.75	1.843	19.895	1.503
421.30	1.846	20.702	1.691
421.85	1.848	21.242	1.377
422.40	1.851	20.426	1.404
422.95	1.854	20.819	1.328
423.50	1.857	21.077	1.040
424.05	1.860	19.671	1.424
424.60	1.862	19.034	1.330
425.15	1.865	19.688	1.318
425.70	1.868	19.657	1.454
426.25	1.871	18.220	1.269
426.80	1.874	20.749	1.356
427.35	1.876	18.722	1.060
427.90	1.879	20.331	1.628
428.45	1.882	20.108	1.528
429.00	1.885	26.296	1.897
429.55	1.887	21.090	1.200
430.10	1.890	17.994	0.787
430.65	1.893	19.783	1.394
431.20	1.896	18.908	1.390
431.75	1.899	19.044	1.190
432.30	1.901	17.984	1.103
432.85	1.904	20.199	1.412
433.40	1.907	21.339	1.740
433.95	1.909	22.815	2.000
434.50	1.912	19.458	1.867
435.05	1.915	20.408	1.334
435.60	1.918	18.610	1.226
436.15	1.921	20.446	1.209
436.70	1.924	20.312	1.201
437.25	1.926	19.456	1.119
437.80	1.929	21.517	1.676
438.35	1.932	19.286	0.935
438.90	1.934	18.283	1.268
439.45	1.937	19.441	1.395
440.00	1.940	19.452	1.437
440.55	1.943	18.383	1.417
441.10	1.946	18.357	0.980
441.65	1.949	17.910	1.013
442.20	1.952	19.444	1.370
442.75	1.955	18.297	1.347
443.30	1.957	18.215	1.470
443.85	1.960	18.364	1.697
444.40	1.963	19.930	2.649
444.95	1.966	19.836	2.234
445.50	1.969	18.645	1.603
446.05	1.972	21.243	1.903
446.60	1.975	19.917	1.547
447.15	1.978	19.208	1.300
447.70	1.980	17.527	1.201
448.25	1.983	18.490	1.334
448.80	1.986	19.425	1.246
449.35	1.989	20.251	1.437
449.90	1.992	19.360	1.443
450.45	1.995	20.242	2.128
451.00	1.998	20.211	1.864
451.55	2.000	19.502	1.698
452.10	2.003	19.698	1.856
452.65	2.006	17.908	0.886
453.20	2.008	17.059	1.379
453.75	2.011	16.713	1.475
454.30	2.014	18.814	1.271
454.85	2.017	32.872	4.320
455.40	2.020	21.239	3.188
455.95	2.024	20.202	1.691
456.50	2.026	19.807	1.575
457.05	2.030	19.126	1.369
457.60	2.033	20.888	1.817
458.15	2.035	20.050	1.364
458.70	2.038	20.094	1.344
459.25	2.041	18.804	1.266
459.80	2.044	19.811	1.566
460.35	2.048	20.534	1.760
460.90	2.051	19.758	1.862
461.45	2.053	21.544	2.502
462.00	2.056	20.465	2.089
462.55	2.059	19.618	1.969
463.10	2.062	20.887	1.238
463.65	2.065	21.813	1.091
464.20	2.068	19.847	1.336
464.75	2.071	19.797	1.179
465.30	2.074	19.399	1.464
465.85	2.076	19.471	1.468
466.40	2.079	20.275	1.290
466.95	2.082	19.764	1.262
467.50	2.085	18.264	1.168
