/* DATA DESCRIPTION:
Citation:	Bazin, L et al. (2013): Methane measured on ice core TALDICE on AICC2012 chronology. doi:10.1594/PANGAEA.824886, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012). doi:10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaelle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, P; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Y; Loutre, M-F; Raynaud, Dominique; Vinther, Bo M; Svensson, A; Rasmussen, Sune O; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric W (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, doi:10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaelle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, P; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune O; Severi, Mirko; Svensson, A; Vinther, Bo M; Wolff, Eric W (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, doi:10.5194/cp-9-1733-2013
Other version:	Icecores data on AICC2012 in Excel format (URI: hdl:10013/epic.42842.d001)
Further details:	Buiron, Daphné; Chappellaz, Jérôme A; Stenni, Barbara; Frezzotti, Massimo; Baumgartner, Matthias; Capron, Emilie; Landais, Amaelle; Lemieux-Dudon, Bénédicte; Masson-Delmotte, Valerie; Montagnat, M; Parrenin, Frédéric; Schilt, Adrian (2011): TALDICE-1 age scale of the Talos Dome deep ice core, East Antarctica. Climate of the Past, 7(1), 1-16, doi:10.5194/cp-7-1-2011
	Schüpbach, Simon; Federer, Urs; Bigler, Matthias; Fischer, Hubertus; Stocker, Thomas F (2011): A refined TALDICE-1a age scale from 55 to 112 ka before present for the Talos Dome ice core based on high-resolution methane measurements. Climate of the Past, 7(3), 1001-1009, doi:10.5194/cp-7-1001-2011
Project(s):	Talos Dome Ice Core (TALDICE) (URI: http://www.taldice.org/)
Coverage:	LATITUDE: -72.783330 * LONGITUDE: 159.066670
	DATE/TIME START: 2005-01-01T00:00:00 * DATE/TIME END: 2008-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 73.475 m * MAXIMUM DEPTH, ice/snow: 1437.980 m
Event(s):	TALDICE (Talos Dome) * LATITUDE: -72.783330 * LONGITUDE: 159.066670 * DATE/TIME START: 2005-01-01T00:00:00 * DATE/TIME END: 2008-12-31T00:00:00 * ELEVATION: 2315.0 m * Recovery: 89 m * LOCATION: Antarctica * DEVICE: Electromechanical drill (EMD)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (eMail: lucie.bazin@lsce.ipsl.fr) * COMMENT: on AICC2012
	Methane [ppbv] (CH4) * PI: Buiron, Daphné * COMMENT: see "Further details" for the original reference of this data
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	2678 data points
*/
Depth ice/snow [m]	Gas age [ka BP]	CH4 [ppbv]
567.015	8.5452200	661.300
567.045	8.5461200	659.000
573.570	8.7034000	645.800
580.200	8.8594200	671.700
580.230	8.8606800	669.000
582.525	8.9688600	657.400
591.015	9.1884500	685.000
591.045	9.1889900	685.300
591.075	9.1895400	671.000
596.525	9.3028200	657.000
604.015	9.4675900	692.700
604.045	9.4681500	689.300
604.075	9.4687100	685.000
604.105	9.4692700	680.300
606.575	9.5154600	684.100
615.015	9.6878600	701.700
615.045	9.6884900	696.000
617.525	9.7440000	690.900
627.025	9.9695100	693.000
627.055	9.9702200	699.000
631.475	10.0773000	700.500
639.015	10.2511000	707.700
639.045	10.2518000	705.000
642.575	10.3328000	681.900
649.015	10.4597000	708.000
649.045	10.4603000	721.000
649.075	10.4608000	705.000
655.575	10.6046000	685.300
662.995	10.7871000	681.000
663.025	10.7878000	680.000
666.975	10.8845000	672.300
668.975	10.9330000	659.200
670.985	10.9798000	705.000
673.985	11.0529000	700.000
675.975	11.1133000	684.100
677.975	11.1820000	692.400
678.985	11.2083000	712.000
681.985	11.2715000	678.000
683.975	11.3245000	643.500
685.975	11.3799000	648.200
687.985	11.4294000	702.000
689.985	11.4747000	716.000
691.965	11.5214000	713.400
693.425	11.5459000	673.100
695.415	11.5920000	553.000
695.445	11.5928000	522.000
697.925	11.6634000	516.000
697.970	11.6646000	507.300
699.975	11.7176000	472.300
702.975	11.7885000	481.700
703.985	11.8099000	491.000
705.955	11.8698000	480.000
705.985	11.8707000	483.000
706.975	11.8975000	471.800
709.375	11.9704000	453.000
711.955	12.0491000	489.000
711.985	12.0501000	497.000
713.985	12.1147000	474.000
715.975	12.1748000	476.100
716.375	12.1890000	456.500
720.985	12.3355000	466.000
722.985	12.3987000	479.000
723.975	12.4388000	471.600
726.975	12.5465000	463.500
727.935	12.5749000	473.000
727.975	12.5761000	463.800
729.935	12.6503000	462.000
729.975	12.6517000	469.400
731.975	12.7023000	497.500
733.375	12.7334000	488.500
734.425	12.7694000	516.700
734.935	12.7838000	513.000
734.975	12.7849000	506.600
736.625	12.8463000	518.900
736.935	12.8580000	592.000
739.625	12.9451000	630.000
739.975	12.9576000	644.700
741.975	13.0293000	648.900
743.985	13.1097000	640.000
745.985	13.1915000	625.000
747.975	13.2746000	624.500
749.375	13.3310000	631.600
751.965	13.4455000	670.000
753.965	13.5303000	678.000
755.975	13.6147000	646.700
757.875	13.6927000	635.300
759.985	13.7900000	671.000
760.350	13.8057000	658.000
760.380	13.8070000	653.000
764.975	14.0242000	624.900
765.975	14.0716000	629.700
766.985	14.1190000	626.000
769.985	14.2347000	613.000
771.975	14.3266000	629.000
772.975	14.3640000	609.300
775.985	14.4534000	631.000
777.985	14.5035000	622.000
779.975	14.5771000	613.600
781.375	14.6407000	607.100
784.475	14.7866000	567.000
785.625	14.8432000	529.800
785.925	14.8585000	522.000
787.625	14.9307000	479.700
787.975	14.9455000	475.400
788.975	14.9851000	471.300
792.985	15.1654000	471.000
793.985	15.2109000	484.000
794.875	15.2495000	459.100
797.975	15.3955000	434.600
798.985	15.4450000	477.000
802.985	15.6269000	471.000
804.575	15.7044000	473.200
804.905	15.7214000	487.000
804.935	15.7229000	457.000
805.875	15.7687000	458.600
805.935	15.7716000	463.000
806.985	15.8257000	454.000
809.955	15.9748000	450.000
811.905	16.0677000	463.000
811.975	16.0711000	444.800
813.855	16.1534000	445.000
813.875	16.1544000	446.700
815.985	16.2526000	470.000
817.345	16.3246000	450.000
819.905	16.4756000	434.700
819.975	16.4804000	425.900
822.905	16.6435000	428.700
822.975	16.6479000	416.600
824.415	16.7299000	433.000
826.385	16.8430000	424.000
828.805	16.9792000	419.000
828.975	16.9890000	408.800
830.905	17.1008000	418.700
830.975	17.1050000	411.100
831.985	17.1643000	413.000
833.985	17.2902000	411.000
835.905	17.4023000	392.000
835.935	17.4040000	391.700
835.975	17.4061000	389.200
837.905	17.5459000	384.000
837.975	17.5507000	392.600
839.985	17.6857000	389.000
841.385	17.7833000	375.000
842.905	17.8857000	372.700
842.975	17.8900000	367.800
845.905	18.1050000	381.700
845.975	18.1108000	363.900
847.395	18.2230000	382.000
848.985	18.3476000	374.000
850.575	18.5166000	405.700
850.905	18.5572000	375.000
851.905	18.6664000	385.000
851.935	18.6696000	379.300
851.975	18.6739000	368.400
854.515	18.9085000	376.000
856.985	19.0894000	375.000
858.575	19.2054000	384.000
858.905	19.2291000	393.000
861.905	19.4576000	369.300
861.975	19.4627000	359.200
864.985	19.6953000	369.000
865.985	19.7739000	366.000
866.655	19.8314000	369.000
866.725	19.8374000	374.300
868.935	20.0219000	364.300
868.975	20.0251000	366.800
869.985	20.1078000	368.000
873.985	20.4822000	373.000
875.905	20.6679000	375.300
875.975	20.6752000	380.300
876.905	20.7670000	375.300
876.975	20.7739000	363.400
879.985	21.0887000	358.000
881.985	21.2977000	362.000
883.905	21.5140000	364.000
883.975	21.5221000	367.900
886.890	21.8468000	366.300
886.965	21.8553000	360.000
887.985	21.9725000	368.000
889.985	22.1935000	373.000
890.905	22.3025000	378.700
890.975	22.3108000	377.800
892.905	22.5105000	373.000
892.975	22.5173000	379.300
894.985	22.7365000	382.000
896.985	22.9378000	394.000
899.905	23.2455000	393.000
899.975	23.2524000	394.700
902.905	23.5917000	393.700
902.935	23.5958000	399.300
902.975	23.6013000	396.400
903.395	23.6750000	402.000
905.985	24.0172000	394.000
906.855	24.1419000	384.300
906.975	24.1592000	380.400
907.875	24.2924000	387.800
907.935	24.3013000	376.700
910.985	24.6022000	380.000
912.985	24.8573000	395.000
915.905	25.1816000	375.700
915.975	25.1876000	375.300
916.905	25.2641000	369.700
916.975	25.2699000	375.500
919.985	25.6121000	376.000
922.985	25.9660000	381.000
924.905	26.2212000	364.000
924.975	26.2304000	374.100
926.905	26.3908000	373.000
926.975	26.3963000	374.000
928.975	26.6657000	365.000
929.925	26.7619000	374.000
929.985	26.7680000	378.000
931.905	26.9851000	383.300
931.975	26.9913000	380.600
933.905	27.2180000	385.300
933.975	27.2270000	372.700
934.985	27.3630000	397.000
937.865	27.6398000	418.000
937.895	27.6432000	393.000
937.955	27.6500000	408.000
937.985	27.6535000	388.000
940.575	27.8742000	431.900
940.905	27.8937000	426.000
941.375	27.9163000	378.000
941.905	27.9403000	417.000
943.955	28.1788000	372.000
943.985	28.1826000	374.000
944.985	28.2574000	388.000
949.890	28.7415000	422.300
949.975	28.7502000	427.600
952.925	28.9930000	445.300
952.955	28.9946000	444.000
952.985	28.9962000	398.000
956.885	29.3545000	391.700
956.915	29.3580000	392.000
956.965	29.3639000	411.300
957.905	29.4494000	397.300
957.935	29.4521000	388.700
957.975	29.4557000	382.200
958.970	29.5490000	398.000
959.000	29.5519000	392.000
959.925	29.6509000	385.000
959.955	29.6541000	397.000
961.905	29.8403000	397.700
961.975	29.8472000	386.800
963.905	29.9615000	393.000
963.975	29.9697000	388.000
965.955	30.2208000	401.000
965.985	30.2242000	401.000
967.955	30.4102000	395.300
967.985	30.4129000	415.000
968.905	30.5464000	396.700
968.935	30.5508000	411.700
968.975	30.5566000	399.900
971.905	30.8754000	402.700
971.935	30.8781000	421.700
971.975	30.8817000	406.700
973.985	31.0674000	391.000
975.985	31.2740000	399.000
977.775	31.4430000	397.100
978.905	31.5735000	425.700
978.975	31.5814000	408.700
981.985	31.8631000	410.000
982.985	31.9746000	425.000
985.905	32.2796000	474.000
985.935	32.2831000	465.300
985.975	32.2878000	473.000
986.905	32.3785000	490.700
986.935	32.3814000	482.000
986.975	32.3853000	484.700
987.955	32.4838000	497.000
987.985	32.4868000	512.000
990.985	32.7124000	415.000
993.905	32.9801000	410.300
993.975	32.9860000	411.900
996.975	33.2752000	483.800
997.985	33.3753000	439.000
999.985	33.6032000	485.000
1001.900	33.7315000	494.700
1001.930	33.7326000	488.300
1001.980	33.7340000	486.200
1003.300	33.8197000	484.300
1003.340	33.8220000	436.000
1003.580	33.8403000	468.300
1005.280	33.9616000	426.700
1005.980	34.0396000	426.000
1009.620	34.3573000	429.000
1009.670	34.3630000	421.000
1009.980	34.3911000	422.300
1011.010	34.4562000	434.700
1011.040	34.4585000	437.000
1011.080	34.4608000	424.000
1011.110	34.4632000	436.000
1013.280	34.6730000	453.000
1013.980	34.7398000	435.200
1015.300	34.8448000	499.000
1015.340	34.8474000	498.000
1015.580	34.8679000	507.600
1017.620	35.0618000	534.000
1017.640	35.0651000	515.000
1017.670	35.0683000	527.300
1017.980	35.1011000	526.400
1021.280	35.3283000	535.300
1021.980	35.3643000	569.100
1023.010	35.4614000	518.300
1023.040	35.4627000	538.000
1023.080	35.4640000	531.000
1023.110	35.4654000	543.700
1023.580	35.4858000	517.300
1025.620	35.6402000	440.300
1025.970	35.6692000	415.100
1027.310	35.7583000	426.300
1027.340	35.7611000	431.700
1027.580	35.7834000	422.600
1029.280	35.9156000	437.300
1029.970	35.9476000	420.000
1033.620	36.2455000	437.700
1033.640	36.2468000	433.300
1033.970	36.2608000	427.600
1035.020	36.3589000	448.300
1035.050	36.3615000	452.000
1035.080	36.3640000	444.000
1035.580	36.4060000	443.500
1037.280	36.5350000	458.300
1037.970	36.6063000	448.200
1039.310	36.7212000	508.700
1039.580	36.7459000	498.700
1041.620	36.8917000	536.300
1041.970	36.9193000	509.600
1045.280	37.1870000	545.700
1045.970	37.2581000	566.300
1047.020	37.3153000	582.700
1047.050	37.3172000	566.000
1047.580	37.3501000	558.700
1049.620	37.5330000	578.300
1049.970	37.5643000	563.700
1051.310	37.6706000	565.000
1051.530	37.6828000	567.600
1053.280	37.8051000	564.000
1053.310	37.8071000	560.000
1053.970	37.8501000	544.500
1057.620	38.1089000	568.000
1057.970	38.1304000	569.900
1059.020	38.1831000	496.700
1059.050	38.1846000	501.000
1059.580	38.2113000	448.300
1061.970	38.3826000	432.400
1063.530	38.5017000	449.500
1065.620	38.6569000	447.000
1065.970	38.6928000	443.700
1069.970	38.9538000	421.400
1071.020	39.0317000	436.700
1071.050	39.0336000	445.000
1071.080	39.0356000	439.000
1073.620	39.1943000	447.700
1073.640	39.1967000	437.000
1073.970	39.2238000	439.300
1075.580	39.3324000	439.300
1077.970	39.5253000	408.000
1081.620	39.8501000	424.300
1081.970	39.8873000	411.100
1083.020	39.9787000	431.300
1083.050	39.9818000	434.000
1083.080	39.9849000	462.000
1083.580	40.0366000	449.900
1085.970	40.1918000	434.500
1087.580	40.3138000	417.500
1089.620	40.4665000	414.700
1089.970	40.4918000	410.200
1093.970	40.8033000	426.700
1095.020	40.8930000	452.000
1095.050	40.8964000	460.000
1095.080	40.8998000	458.000
1095.580	40.9564000	459.000
1097.620	41.1465000	496.300
1097.640	41.1488000	477.000
1097.670	41.1511000	481.000
1097.970	41.1743000	469.900
1099.020	41.2803000	416.300
1099.580	41.3221000	406.500
1105.970	41.8080000	400.500
1107.020	41.8935000	412.700
1107.050	41.8966000	409.000
1111.580	42.3207000	428.800
1113.970	42.5410000	481.900
1117.620	42.8329000	491.000
1117.640	42.8346000	493.000
1119.020	42.9615000	495.000
1119.050	42.9643000	488.000
1119.580	43.0150000	489.700
1121.970	43.2225000	480.400
1123.580	43.3535000	487.200
1125.620	43.5116000	425.300
1125.970	43.5504000	399.900
1129.970	43.8472000	418.300
1132.020	44.0546000	423.700
1132.600	44.1012000	421.300
1133.620	44.1807000	421.700
1133.640	44.1830000	421.000
1133.970	44.2082000	422.100
1135.580	44.3594000	457.400
1137.970	44.5528000	449.000
1141.640	44.8553000	454.000
1141.670	44.8586000	450.000
1141.970	44.8913000	446.600
1143.020	44.9606000	470.300
1143.050	44.9627000	470.000
1143.580	44.9996000	486.700
1145.970	45.1565000	463.100
1147.580	45.2849000	477.800
1149.620	45.4370000	478.300
1149.640	45.4393000	473.000
1149.970	45.4641000	477.800
1153.970	45.7466000	511.900
1155.020	45.8273000	525.000
1155.050	45.8302000	505.000
1155.080	45.8331000	510.000
1155.580	45.8815000	508.900
1157.620	46.0349000	512.300
1157.970	46.0610000	507.000
1159.470	46.1855000	492.100
1161.970	46.3542000	500.800
1165.620	46.6119000	535.700
1165.640	46.6142000	523.000
1165.970	46.6396000	515.600
1167.020	46.6976000	541.000
1167.050	46.7005000	527.300
1167.080	46.7034000	533.000
1167.110	46.7062000	528.000
1167.580	46.7512000	493.400
1169.970	46.9351000	497.600
1171.580	47.0976000	439.900
1173.620	47.3080000	458.300
1173.640	47.3110000	443.000
1173.970	47.3439000	454.800
1177.970	47.7997000	437.300
1179.020	47.8991000	460.000
1179.050	47.9017000	454.000
1179.580	47.9482000	453.100
1181.620	48.1887000	453.300
1181.640	48.1920000	453.000
1181.970	48.2288000	462.800
1183.530	48.4349000	409.000
1185.970	48.7684000	409.100
1189.620	49.2609000	471.700
1189.640	49.2650000	463.000
1189.670	49.2690000	467.000
1189.700	49.2731000	465.000
1189.970	49.3097000	473.800
1191.020	49.4583000	478.000
1191.580	49.5175000	464.200
1193.970	49.8208000	424.600
1195.580	50.0127000	452.400
1197.620	50.2561000	462.000
1197.970	50.3039000	470.700
1203.020	50.9634000	491.700
1203.050	50.9672000	489.000
1203.580	51.0349000	487.100
1209.970	51.8531000	513.200
1213.620	52.3439000	535.000
1213.970	52.3913000	526.400
1215.020	52.5071000	538.000
1215.580	52.5795000	534.900
1217.970	52.8922000	540.100
1219.580	53.1146000	547.300
1221.620	53.3961000	546.300
1221.970	53.4360000	542.200
1223.170	53.6113000	542.723
1223.330	53.6343000	541.072
1223.500	53.6573000	537.748
1223.670	53.6803000	534.836
1223.830	53.7033000	530.848
1224.170	53.7494000	522.933
1224.330	53.7726000	516.680
1224.500	53.7958000	517.687
1224.670	53.8189000	523.640
1224.830	53.8421000	535.051
1226.170	53.9958000	547.023
1226.330	54.0150000	546.757
1226.500	54.0342000	533.150
1226.670	54.0534000	515.025
1226.830	54.0726000	501.754
1227.020	54.0937000	517.700
1227.050	54.0973000	535.000
1227.170	54.1123000	500.128
1227.330	54.1329000	508.120
1227.500	54.1534000	516.158
1227.580	54.1626000	548.700
1227.670	54.1739000	513.548
1228.170	54.2373000	502.827
1228.330	54.2596000	496.586
1228.500	54.2820000	488.769
1228.670	54.3043000	467.956
1228.830	54.3266000	449.021
1229.170	54.3721000	447.103
1229.330	54.3952000	450.477
1229.500	54.4184000	445.741
1229.670	54.4416000	437.563
1229.830	54.4647000	435.735
1229.970	54.4844000	438.000
1230.140	54.5081000	440.145
1230.290	54.5283000	442.228
1230.430	54.5485000	439.903
1230.570	54.5687000	439.684
1230.710	54.5889000	444.362
1230.860	54.6091000	451.719
1231.170	54.6522000	457.956
1231.330	54.6751000	459.862
1231.500	54.6980000	459.950
1231.530	54.7015000	422.100
1231.670	54.7209000	460.662
1231.830	54.7439000	460.013
1232.170	54.7915000	461.752
1232.330	54.8162000	469.945
1232.500	54.8410000	475.325
1232.670	54.8657000	470.906
1232.830	54.8904000	467.433
1233.170	54.9405000	471.630
1233.330	54.9657000	475.042
1233.500	54.9910000	478.906
1233.620	55.0085000	455.000
1233.670	55.0163000	491.977
1233.970	55.0631000	461.600
1234.170	55.0928000	504.629
1234.330	55.1188000	500.947
1234.500	55.1447000	481.272
1234.670	55.1706000	459.502
1234.830	55.1965000	449.627
1235.170	55.2430000	451.941
1235.330	55.2636000	457.390
1235.500	55.2841000	462.043
1235.670	55.3047000	465.738
1235.830	55.3253000	468.523
1236.170	55.3710000	472.469
1236.330	55.3963000	480.568
1236.500	55.4215000	497.544
1236.670	55.4467000	524.442
1237.970	55.6652000	515.900
1238.330	55.7293000	548.332
1238.670	55.7892000	553.806
1239.020	55.8508000	558.300
1239.050	55.8543000	552.000
1239.080	55.8577000	563.000
1239.200	55.8721000	539.861
1239.400	55.8951000	516.880
1239.580	55.9152000	470.800
1239.600	55.9180000	500.635
1239.800	55.9410000	495.448
1240.170	55.9847000	486.306
1240.330	56.0054000	470.399
1240.500	56.0260000	462.358
1240.670	56.0467000	463.783
1240.830	56.0674000	466.072
1241.170	56.1149000	467.580
1241.330	56.1418000	473.405
1241.500	56.1687000	487.579
1241.620	56.1872000	466.000
1241.640	56.1921000	463.000
1241.670	56.1956000	499.532
1241.670	56.1969000	459.000
1241.830	56.2225000	503.110
1241.970	56.2453000	461.500
1243.310	56.4739000	477.700
1243.530	56.5123000	474.000
1244.500	56.6940000	517.148
1245.170	56.8254000	544.031
1245.330	56.8580000	559.984
1245.500	56.8907000	560.995
1245.670	56.9233000	562.998
1245.830	56.9559000	571.654
1248.170	57.2988000	577.972
1248.330	57.3271000	576.605
1248.500	57.3554000	575.110
1248.670	57.3837000	579.394
1248.830	57.4120000	586.217
1249.170	57.4669000	589.499
1249.280	57.4850000	565.000
1249.330	57.4935000	586.003
1249.500	57.5201000	580.982
1249.670	57.5467000	581.209
1249.830	57.5733000	589.709
1249.970	57.5958000	541.000
1251.020	57.7683000	580.300
1251.580	57.8504000	574.700
1253.620	58.1658000	565.300
1253.640	58.1708000	572.000
1253.670	58.1757000	570.000
1253.700	58.1807000	563.700
1253.970	58.2253000	559.400
1255.170	58.3854000	570.839
1255.310	58.4069000	564.000
1255.330	58.4113000	548.806
1255.500	58.4372000	514.856
1255.530	58.4411000	528.900
1255.670	58.4631000	487.247
1255.830	58.4890000	471.376
1256.170	58.5480000	466.567
1256.330	58.5811000	467.691
1256.500	58.6142000	473.505
1256.670	58.6473000	483.881
1256.830	58.6804000	496.716
1257.170	58.7395000	505.681
1257.330	58.7655000	511.265
1257.500	58.7914000	522.745
1257.670	58.8174000	533.018
1257.830	58.8434000	531.027
1258.170	58.8949000	530.641
1258.330	58.9205000	543.738
1258.500	58.9460000	556.606
1258.670	58.9715000	556.138
1258.830	58.9971000	549.067
