/* DATA DESCRIPTION:
Citation:	Alley, Richard B (1999): GISP2 Stratigraphy [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.56103
Related to:	Alley, Richard B; Meese, D A; Shuman, Christopher A; Gow, A J; Taylor, Kendrick C; Grootes, Pieter Meiert; White, James W C; Ram, M; Waddington, Edwin D; Mayewski, Paul Andrew; Zielinski, G A (1993): Abrupt increase in Greenland snow accumulation at the end of the Younger Dryas event. Nature, 362(6420), 527-529, https://doi.org/10.1038/362527a0
	Alley, Richard B; Saltzman, Eric S; Cuffey, Kurt M; Fitzpatrick, Joan J (1990): Summertime formation of depth hoar in central Greenland. Geophysical Research Letters, 17, 2393-2396, https://doi.org/10.1029/GL017i013p02393
	Alley, Richard B; Shuman, Christopher A; Meese, D A; Gow, A J; Taylor, Kendrick C; Cuffey, Kurt M; Fitzpatrick, Joan J; Grootes, Pieter Meiert; Zielinski, G A; Ram, M; Spinelli, Glenn; Elder, Bruce C (1997): Visual-stratigraphic dating of the GISP2 ice core: Basis, reproducibility, and application. Journal of Geophysical Research: Oceans, 102(C12), 26367-26382, https://doi.org/10.1029/96JC03837
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Kapsner, W R; Alley, Richard B; Shuman, Christopher A; Anandakrishnan, Sridhar; Grootes, Pieter Meiert (1995): Dominant influence of atmospheric circulation on snow accumulation in Greenland over the past 18,000 years. Nature, 373(6509), 52-54, https://doi.org/10.1038/373052a0
	Meese, D A; Gow, A J; Alley, Richard B; Zielinski, G A; Grootes, Pieter Meiert; Ram, M; Taylor, Kendrick C; Mayewski, Paul Andrew; Bolzan, J F (1997): The Greenland Ice Sheet Project 2 depth-age scale: Methods and results. Journal of Geophysical Research: Oceans, 102(C12), 26411-26424, https://doi.org/10.1029/97JC00269
	Spinelli, Glenn (1996): A statistical analysis of ice-accumulation level and variability in the GISP2 ice core and a reexamination of the age of the termination of the Younger Dryas cooling episode. Earth System Science Center Technical Report University of New, 96-001
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.588000 * LONGITUDE: -38.457000
	MINIMUM ELEVATION: 3203.0 m * MAXIMUM ELEVATION: 3203.0 m
Event(s):	GISP2-D_Strat * LATITUDE: 72.588000 * LONGITUDE: -38.457000 * ELEVATION: 3203.0 m * LOCATION: Greenland * CAMPAIGN: GISP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Dummy (DUMMY)
Comment:	Depths of mid-summer as determined separately from ECM and visual stratigraphy in the GISP2-D ice core. Also given are calculated layer thicknesses (true and ice equivalent) and calculated accumulation rates. Factor A = (accum)/(layer thickness). Summ. refers to the calender year associated with the mid-summer pick.
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Depth, reference [m] (Depth ref) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated from conductivity
	Depth, reference [m] (Depth ref) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual stratigraphy
	Age [a AD/CE] (Age) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual stratigraphy * COMMENT: mid-summer pick
	Layer thickness [m] (Thickness) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: true layer thickness
	Layer thickness [m] (Thickness) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: ice equivalent layer thickness
	Density [g/cm**3] (Density) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Factor (Factor) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: Factor A = (accum)/(layer thickness)
	Correction (corr) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu)
	Interval comments (Interval comm) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual description
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8237 data points
*/
Age [ka BP]	Depth ref [m] (Calculated from conductivity)	Depth ref [m] (Visual stratigraphy)	Age [a AD/CE] (mid-summer pick, Visual strat...)	Thickness [m] (true layer thickness, Calculated)	Thickness [m] (ice equivalent layer thicknes...)	Density [g/cm**3] (Pycnometer (Micromeritics))	Factor (Factor A = (accum)/(layer thi...)	corr	Interval comm (Visual description)
0.33200	115.95	115.94	1618	0.3100	0.2780	0.898	1.033	0.287	
0.33300	116.22	116.18	1617	0.2400	0.2160	0.899	1.033	0.223	
0.33400	116.43	116.43	1616	0.2500	0.2250	0.899	1.033	0.232	
0.33500	116.62	116.63	1615	0.2000	0.1800	0.899	1.033	0.186	
0.33600		116.89	1614	0.2600	0.2340	0.899	1.033	0.241	
0.33700	117.23	117.18	1613	0.2900	0.2610	0.899	1.033	0.269	questionable
0.33800	117.31	117.30	1612	0.1200	0.1080	0.899	1.033	0.111	
0.33900	117.45	117.50	1611	0.2000	0.1800	0.900	1.033	0.186	
0.34000	117.73	117.70	1610	0.2000	0.1800	0.900	1.033	0.186	
0.34100	118.02	117.97	1609	0.2700	0.2430	0.900	1.033	0.251	
0.34200	118.27	118.31	1608	0.3400	0.3060	0.900	1.033	0.316	
0.34300	118.59	118.56	1607	0.2500	0.2250	0.900	1.033	0.233	
0.34400	118.79	118.76	1606	0.2000	0.1800	0.900	1.033	0.186	
0.34500	118.99	119.02	1605	0.2600	0.2340	0.901	1.034	0.242	
0.34600	119.49	119.26	1604	0.2400	0.2160	0.901	1.034	0.224	questionable
0.34700	119.77	119.67	1603	0.4100	0.3690	0.901	1.034	0.382	
0.34800	120.01	119.99	1602	0.3200	0.2880	0.901	1.034	0.298	
0.34900	120.17	120.21	1601	0.2200	0.1980	0.902	1.034	0.205	
0.35000	120.52	120.58	1600	0.3700	0.3340	0.902	1.034	0.345	
0.35100	120.77	120.89	1599	0.3100	0.2800	0.902	1.034	0.289	
0.35200	121.26	121.21	1598	0.3200	0.2890	0.902	1.034	0.299	
0.35300	121.48	121.40	1597	0.1900	0.1710	0.902	1.034	0.177	
0.35400	121.77	121.61	1596	0.2100	0.1890	0.902	1.034	0.196	questionable
0.35500	121.87	121.82	1595	0.2100	0.1890	0.902	1.034	0.196	questionable
0.35600	122.00	122.11	1594	0.2900	0.2620	0.903	1.035	0.271	
0.35700	122.17	122.28	1593	0.1700	0.1540	0.903	1.035	0.159	
0.35800	122.50	122.54	1592	0.2600	0.2350	0.903	1.035	0.243	
0.35900	122.78	122.78	1591	0.2400	0.2170	0.903	1.035	0.224	
0.36000	123.04	123.01	1590	0.2300	0.2080	0.903	1.035	0.215	
0.36100	123.27	123.27	1589	0.2600	0.2350	0.903	1.035	0.243	
0.36200	123.42	123.53	1588	0.2600	0.2350	0.903	1.035	0.243	
0.36300	123.72	123.75	1587	0.2200	0.1990	0.903	1.035	0.206	
0.36400	123.96		1586	0.2100	0.1900	0.903	1.035	0.196	questionable
0.36500	124.18	124.21	1585	0.2500	0.2260	0.904	1.035	0.234	
0.36600	124.43	124.42	1584	0.2100	0.1900	0.904	1.035	0.197	questionable
0.36700	124.75	124.71	1583	0.2900	0.2620	0.904	1.035	0.271	
0.36800	125.07	124.98	1582	0.2700	0.2440	0.904	1.035	0.253	
0.36900	125.27	125.29	1581	0.3100	0.2800	0.904	1.036	0.290	
0.37000	125.52	125.51	1580	0.2200	0.1990	0.904	1.036	0.206	
0.37100	125.75	125.74	1579	0.2300	0.2080	0.904	1.036	0.215	
0.37200	125.94	125.98	1578	0.2400	0.2170	0.904	1.036	0.225	questionable
0.37300	126.15	126.15	1577	0.1700	0.1540	0.905	1.036	0.159	
0.37400	126.26	126.28	1576	0.1300	0.1180	0.905	1.036	0.122	
0.37500	126.52	126.51	1575	0.2300	0.2080	0.905	1.036	0.216	
0.37600	126.72	126.75	1574	0.2400	0.2170	0.905	1.036	0.225	
0.37700	126.98	126.98	1573	0.2300	0.2080	0.905	1.036	0.216	
0.37800	127.11	127.27	1572	0.2900	0.2620	0.905	1.036	0.272	
0.37900	127.38	127.39	1571	0.1200	0.1090	0.905	1.036	0.113	
0.38000	127.60	127.63	1570	0.2400	0.2170	0.905	1.036	0.225	
0.38100	127.94	127.90	1569	0.2700	0.2440	0.905	1.036	0.253	
0.38200	128.05	128.06	1568	0.1600	0.1450	0.906	1.036	0.150	questionable
0.38300	128.29	128.32	1567	0.2600	0.2360	0.906	1.037	0.244	
0.38400	128.51	128.54	1566	0.2200	0.1990	0.906	1.037	0.207	
0.38500	128.69	128.74	1565	0.2000	0.1810	0.906	1.037	0.188	
0.38600	128.96	128.96	1564	0.2200	0.1990	0.906	1.037	0.207	
0.38700	129.17	129.17	1563	0.2100	0.1900	0.906	1.037	0.197	
0.38800	129.45	129.42	1562	0.2500	0.2270	0.906	1.037	0.235	
0.38900	129.53	129.55	1561	0.1300	0.1180	0.906	1.037	0.122	
0.39000		129.68	1560	0.1300	0.1180	0.906	1.037	0.122	questionable
0.39100		129.88	1559	0.2000	0.1810	0.906	1.037	0.188	questionable
0.39200	130.23	130.23	1558	0.3500	0.3170	0.907	1.037	0.329	
0.39300	130.54	130.58	1557	0.3500	0.3170	0.907	1.037	0.329	
0.39400	130.78	130.73	1556	0.1500	0.1360	0.907	1.037	0.141	
0.39500	130.89	130.87	1555	0.1400	0.1270	0.907	1.037	0.132	
0.39600	131.06	131.05	1554	0.1800	0.1630	0.907	1.037	0.169	
0.39700	131.25	131.41	1553	0.3600	0.3270	0.907	1.038	0.339	
0.39800	131.64	131.67	1552	0.2600	0.2360	0.907	1.038	0.245	
0.39900		131.89	1551	0.2200	0.2000	0.907	1.038	0.207	questionable
0.40000	132.15	132.16	1550	0.2700	0.2450	0.907	1.038	0.254	
0.40100	132.33	132.39	1549	0.2300	0.2090	0.907	1.038	0.217	
0.40200	132.63	132.63	1548	0.2400	0.2180	0.907	1.038	0.226	
0.40300	132.80	132.93	1547	0.3000	0.2720	0.907	1.038	0.282	
0.40400	133.08	133.11	1546	0.1800	0.1630	0.907	1.038	0.169	
0.40500	133.38	133.29	1545	0.1800	0.1630	0.907	1.038	0.169	
0.40600	133.60	133.47	1544	0.1800	0.1630	0.907	1.038	0.170	
0.40700	133.82	133.80	1543	0.3300	0.3000	0.908	1.038	0.311	
0.40800	134.19	134.05	1542	0.2500	0.2270	0.908	1.038	0.236	
0.40900	134.27	134.26	1541	0.2100	0.1910	0.908	1.038	0.198	
0.41000	134.49	134.48	1540	0.2200	0.2000	0.908	1.039	0.207	
0.41100	134.63	134.69	1539	0.2100	0.1910	0.908	1.039	0.198	
0.41200	134.98	134.95	1538	0.2600	0.2360	0.908	1.039	0.245	
0.41300	135.21	135.22	1537	0.2700	0.2450	0.908	1.039	0.255	
0.41400	135.42	135.39	1536	0.1700	0.1540	0.908	1.039	0.160	
0.41500	135.67	135.66	1535	0.2700	0.2450	0.908	1.039	0.255	
0.41600	135.95	135.95	1534	0.2900	0.2630	0.908	1.039	0.274	
0.41700	136.23	136.17	1533	0.2200	0.2000	0.908	1.039	0.208	
0.41800	136.46	136.44	1532	0.2700	0.2450	0.908	1.039	0.255	
0.41900	136.64	136.65	1531	0.2100	0.1910	0.908	1.039	0.198	
0.42000	136.94	136.90	1530	0.2500	0.2270	0.908	1.039	0.236	
0.42100	137.14	137.08	1529	0.1800	0.1640	0.909	1.039	0.170	
0.42200	137.37	137.36	1528	0.2800	0.2550	0.909	1.040	0.265	
0.42300	137.63	137.63	1527	0.2700	0.2450	0.909	1.040	0.255	
0.42400	137.79	137.80	1526	0.1700	0.1550	0.909	1.040	0.161	
0.42500	138.02	138.08	1525	0.2800	0.2550	0.909	1.040	0.265	
0.42600	138.31	138.32	1524	0.2400	0.2180	0.909	1.040	0.227	
0.42700	138.55	138.55	1523	0.2300	0.2090	0.909	1.040	0.217	
0.42800	138.74	138.79	1522	0.2400	0.2180	0.909	1.040	0.227	
0.42900	138.97	139.16	1521	0.3700	0.3360	0.909	1.040	0.350	
0.43000	139.29	139.34	1520	0.1800	0.1640	0.909	1.040	0.170	
0.43100	139.53	139.60	1519	0.2600	0.2360	0.909	1.040	0.246	
0.43200	139.74	139.83	1518	0.2300	0.2090	0.909	1.040	0.218	
0.43300	140.08	140.15	1517	0.3200	0.2910	0.910	1.040	0.303	
0.43400	140.40	140.43	1516	0.2800	0.2550	0.910	1.041	0.265	
0.43500	140.70	140.68	1515	0.2500	0.2280	0.910	1.041	0.237	
0.43600	140.92	140.88	1514	0.2000	0.1820	0.910	1.041	0.189	questionable
0.43700	141.12	141.05	1513	0.1700	0.1550	0.910	1.041	0.161	
0.43800	141.44	141.33	1512	0.2800	0.2550	0.910	1.041	0.265	
0.43900	141.64	141.52	1511	0.1900	0.1730	0.910	1.041	0.180	
0.44000	141.78	141.72	1510	0.2000	0.1820	0.910	1.041	0.189	questionable
0.44100	141.93	141.89	1509	0.1700	0.1550	0.910	1.041	0.161	
0.44200	142.23	142.17	1508	0.2800	0.2550	0.910	1.041	0.265	
0.44300	142.45	142.43	1507	0.2600	0.2370	0.910	1.041	0.246	
0.44400	142.56	142.62	1506	0.1900	0.1730	0.910	1.041	0.180	
0.44500	142.92	142.89	1505	0.2700	0.2460	0.910	1.041	0.256	
0.44600	143.16	143.11	1504	0.2200	0.2000	0.910	1.041	0.208	
0.44700	143.53	143.49	1503	0.3800	0.3460	0.910	1.042	0.360	
0.44800	143.68	143.70	1502	0.2100	0.1910	0.910	1.042	0.199	
0.44900	143.94	143.95	1501	0.2500	0.2280	0.910	1.042	0.237	questionable
0.45000	144.17	144.09	1500	0.1400	0.1270	0.910	1.042	0.133	
0.45100	144.43	144.44	1499	0.3500	0.3180	0.910	1.042	0.332	
0.45200	144.70	144.67	1498	0.2300	0.2090	0.910	1.042	0.218	
0.45300	144.88	144.85	1497	0.1800	0.1640	0.910	1.042	0.171	
0.45400	145.01	145.05	1496	0.2000	0.1820	0.910	1.042	0.190	
0.45500	145.25	145.21	1495	0.1600	0.1460	0.910	1.042	0.152	
0.45600	145.39	145.55	1494	0.3400	0.3090	0.910	1.042	0.322	
0.45700	145.66	145.72	1493	0.1700	0.1550	0.910	1.042	0.161	
0.45800	145.91	145.89	1492	0.1700	0.1550	0.910	1.042	0.161	
0.45900	146.20	146.19	1491	0.3000	0.2730	0.911	1.042	0.285	
0.46000	146.43	146.42	1490	0.2300	0.2100	0.911	1.043	0.218	
0.46100	146.71	146.77	1489	0.3500	0.3190	0.911	1.043	0.332	questionable
0.46200	146.91	146.96	1488	0.1900	0.1730	0.911	1.043	0.180	
0.46300	147.32	147.35	1487	0.3900	0.3550	0.911	1.043	0.371	
0.46400	147.52	147.54	1486	0.1900	0.1730	0.911	1.043	0.181	
0.46500	147.71	147.70	1485	0.1600	0.1460	0.911	1.043	0.152	
0.46600	147.99	147.91	1484	0.2100	0.1910	0.911	1.043	0.200	
0.46700	148.12	148.10	1483	0.1900	0.1730	0.911	1.043	0.181	
0.46800	148.41	148.44	1482	0.3400	0.3100	0.911	1.043	0.323	
0.46900	148.76	148.63	1481	0.1900	0.1730	0.911	1.043	0.181	
0.47000	148.92	148.89	1480	0.2600	0.2370	0.911	1.043	0.247	
0.47100	149.12	149.06	1479	0.1700	0.1550	0.911	1.043	0.162	
0.47200	149.20	149.27	1478	0.2100	0.1910	0.911	1.044	0.200	
0.47300	149.56	149.56	1477	0.2900	0.2640	0.911	1.044	0.276	
